2025/02/16 02:47:35.669602 开始执行程序...
2025/02/16 02:47:35.670125 ----------------------------------------
2025/02/16 02:47:35.670659 处理钱包地址: MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa
2025/02/16 02:47:35.670659 开始获取钱包 MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa 的代币列表...
2025/02/16 02:47:35.670659 ----------------------------------------
2025/02/16 02:47:36.152397 RPC代币数据: Mint=F5yBy9e5QxdFencdMoMra4r8yysR2ZgkSSsA3SMfZLJd, Amount=67670000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EuSnbmGwTtTyGwn6L1m7jbfPMkzo34Hzoy3AveADij8x, Amount=1000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=GFcw8PWzmWdFupfVF1ibQReERjqXxDZaNrGUb5bjtyFi, Amount=1300000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=DoGoub5wFUh8exiL1jm93tmequEqCGiA5KT8J7sdBiuM, Amount=30196521, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=GvVu6q8dmiYEwcNRUq1oqee164aUyyFpLL5jEcTphgP2, Amount=2000000000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=GLiB37nqnPDghvVHFS9CJ21c5BDUQxSJS3BXBWduVoPm, Amount=100000, Decimals=5
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CaMiLFk8goCWtB3jq3pHeD3ojzrMMpqWHc9VMZZXpump, Amount=145000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7mGhojefHezMUUr8J3hyuH7QfqyTXRKhRyTFQtc8pump, Amount=5900000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=HbPibR6mwGwVAtofC2qwNqfFHqgL25MkDXxjnc86Qi6N, Amount=2000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=4ETzXucaWjHRMvCm3EJw1AJbdzNzTQccDLBn4nXnpump, Amount=5000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=J5w73TqzD6Dtk2xuZnPJcgu2dJSmwow6QcweaDEFpump, Amount=5000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7FsUzap4C7sHTnYBWHUDWFDACx1HgfTH3UsrU3c9a7kT, Amount=1000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=4Qur8tvJG195EXmhsuPvpa3qmMiAugtbDaoGwVGV6oJD, Amount=10000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=5j2shkkzascw33QpW6RRqfRkacLkn7QwwV1e7jX36nyn, Amount=46000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=J74ufcRuJQtgy7MpKjxzYFzPz7BrJfA5B4XVxfvpump, Amount=40000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2TsCMareAqQ8gfE9dCovqxEiWB1sEcJkHwh9x6dSCW66, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=D4985oNS95Ajjz4VvrSxXKpx9VrTQNA1XufhJA18pXPS, Amount=2918500000, Decimals=5
2025/02/16 02:47:36.152397 RPC代币数据: Mint=DeDLqtQBLRtkFRwDTjHfy7fzxVAyNyXsWtfG5zGBDcxS, Amount=16000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CCTy7GuLkf9L85kGBBfmzEsRAsJNyo4dZBSG7UmKywPZ, Amount=1426000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3u6T369HzcsA66WTiyiA8DgiG4vxRqUw9pJ7b5f471bz, Amount=6000000000000, Decimals=4
2025/02/16 02:47:36.152397 RPC代币数据: Mint=E5ZVeBMazQAYq4UEiSNRLxfMeRds9SKL31yPan7j5GJK, Amount=125000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=FdRZ4dfda6xLAPfhTuPuykXEng5YnpzBC795wDMfHCt5, Amount=99000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=frYCZ4yYemUbvfYtdNrEXPSaRvk5y8rYmfnFScN4zvW, Amount=4000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CwvXn54vBhWK92tWmUoBXbiw92WjxY6rCviafNWQpump, Amount=312000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=9cJm4yKb96EPw9RAbMJ3HVNDz4X3oTRoHptoTmrv4YxQ, Amount=2000000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EWXPn7QEmBaCvzBYU33SaNLQhBMB8p6NQhk5pvyhAPt9, Amount=100660000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EZmhADkneV3sVUQuHWSNmD7atWdAioXgFQ2HrvmwUnYv, Amount=750000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3QrnWqVj8Bg7mphZCFpxpwL5aqQ3W6HtdKTWvGo5zJVp, Amount=500000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CyaVTZZKNVNMyGyGsN5WgxQTaJ6Dubt68Ltu2TKXpump, Amount=37859090, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=JANLJd9fM3BJJR1hiEKiV4our37GHZqE7izmKDDMpump, Amount=47500000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7vvbvkPZYvHSP2ecPCXP7WbB5Zwyst53TCnUWioxpump, Amount=6362000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=57uTEDLkWTkPkVB2poQL5L2YupL5FYFdK4TfK4o9zMH4, Amount=188000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=FrvGPXHX9ssTUvsJEV6yS3yfTe81ydQtUwUKFPTUpump, Amount=5131350000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=AB1e1rTGF8xSoYzXEwNWohuMHLCMrBoaSxT6AARmQksd, Amount=1666666600, Decimals=6
